,155,21,71,98,153,77,56,73,138,124
0,18,2,29,5,28,17,1,49,1,54
1,10,0,15,5,25,10,3,15,4,24
2,20,4,25,10,20,13,4,24,1,26
3,29,7,19,7,21,26,11,22,6,28
4,39,15,21,9,20,17,11,26,4,14
5,18,20,21,16,17,26,10,24,11,17
6,20,6,15,11,12,17,9,18,10,10
7,16,7,12,13,12,10,9,19,13,15
8,18,16,11,17,11,11,7,14,4,13
9,11,16,17,14,13,17,17,12,9,16
10,17,25,14,21,15,18,24,15,20,12
11,25,40,23,26,13,23,22,21,40,11
12,23,42,16,36,18,24,23,17,30,13
13,25,43,26,43,20,21,32,15,32,21
14,21,50,26,45,30,27,36,20,43,27
15,37,54,57,69,62,44,37,36,61,46
